#{"t_start": 1745049255.1946304, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
900.0,2865,4366.324457
570.0,2417,4372.092827
870.0,2641,4378.36676
510.0,2081,4383.335301
870.0,2905,4390.321439
220.0,1417,4393.75781
640.0,2937,4400.689449
250.0,1353,4403.904146
1430.0,3569,4412.458361
920.0,3657,4421.167298
760.0,2345,4426.685622
620.0,2257,4431.857051
990.0,2705,4437.981548
510.0,1689,4441.76423
1600.0,3465,4449.663419
580.0,2193,4454.645912
490.0,2361,4459.945206
1000.0,3209,4467.32769
1300.0,3001,4474.060374
1300.0,4897,4485.742198
570.0,2025,4490.488621
1390.0,3465,4498.750271
310.0,1841,4503.0853
420.0,1865,4507.586024
740.0,3649,4516.361577
320.0,1929,4520.93447
990.0,2833,4527.726166
1530.0,3089,4535.085621
510.0,2377,4540.851209
540.0,2209,4546.167246
640.0,2489,4551.916543
510.0,2865,4558.368551
750.0,2313,4563.663237
910.0,2945,4570.381104
810.0,2209,4575.346708
1000.0,4097,4584.74918
400.0,1673,4588.480688
1360.0,2737,4594.648031
800.0,3209,4602.079282
630.0,2329,4607.628877
480.0,2017,4612.342044
3470.0,2401,4617.978528
390.0,1625,4621.857623
280.0,1697,4625.87345
710.0,2209,4631.214126
440.0,2529,4637.244555
750.0,3097,4644.837816
720.0,2193,4650.089407
1520.0,3361,4658.278089
1560.0,3481,4666.569799
490.0,2305,4672.138027
640.0,2505,4678.081637
1200.0,2449,4683.888465
530.0,1777,4688.131897
1010.0,2529,4694.205021
330.0,1537,4697.850511
390.0,1561,4701.746804
1340.0,2585,4708.362783
290.0,1497,4711.963288
1200.0,2929,4718.949194
1030.0,2673,4725.328958
640.0,2401,4731.109572
1040.0,3473,4739.24416
330.0,1569,4743.007325
390.0,1577,4746.695591
910.0,3153,4754.306786
2090.0,2577,4760.454926
480.0,1953,4765.101485
710.0,2225,4770.420924
1600.0,3785,4779.485816
1300.0,4057,4789.206112
430.0,1817,4793.569681
750.0,2649,4799.773587
700.0,2161,4804.957423
1160.0,2705,4811.512728
310.0,1513,4815.141883
610.0,2809,4821.908072
1950.0,4921,4833.295905
460.0,1889,4837.658283
790.0,2793,4844.057921
880.0,4113,4853.393023
1290.0,3201,4860.708317
1510.0,3449,4868.824219
630.0,2673,4875.123834
1390.0,3657,4883.989037
320.0,1473,4887.539689
430.0,1977,4892.086051
1320.0,3009,4898.972858
380.0,1745,4902.905095
400.0,1761,4907.002741
1660.0,3601,4915.177739
760.0,2393,4920.600894
540.0,1969,4925.107587
430.0,1953,4929.508564
930.0,2705,4935.633821
500.0,2265,4940.766279
